keys,en,fr,zh,ja,ko,zh_TW,ru,pl,es,pt,de,tr,it
CHARACTER_PACIFIST,Pacifist,Pacifiste,和平主义者,平和主義者,평화주의자,和平主義者,Пацифист,Pacyfista,Pacifista,Pacifista,Pazifist,Barışçı,Pacifista
CHARACTER_INTROVERT,Introvert,Introverti,内向,内向的,내향인,內向的人,Интроверт,Introwertyk,Introvertido,Introvertido,Einzelgänger,İçe Dönük,Introverso
CHARACTER_SOLDIER,Soldier,Soldat,士兵,兵士,군인,士兵,Солдат,Żołnierz,Soldado,Soldado,Soldat,Asker,Soldato
CHARACTER_GHOST,Ghost,Fantôme,幽灵,幽霊,유령,幽靈,Призрак,Duch,Fantasma,Fantasma,Geist,Hayalet,Fantasma
CHARACTER_ENGINEER,Engineer,Ingénieur,工程师,エンジニア,엔지니어,工程師,Инженер,Inżynier,Ingeniero,Engenheiro,Ingenieur,Mühendis,Ingegnere
CHARACTER_MULTITASKER,Multitasker,Multitâche,多面手,マルチタスカー,멀티태스커,多任務執行者,Мастер на все руки,Wielozadaniowy,Polifacético,Multitarefa,Tausendsassa,Hünerli,Tuttofare
CHARACTER_ENTREPRENEUR,Entrepreneur,Entrepreneur,企业家,実業家,기업가,企業家,Предприниматель,Przedsiębiorca,Emprendedor,Empreendedor,Unternehmer,Girişimci,Imprenditore
CHARACTER_DOCTOR,Doctor,Docteur,医生,医者,의사,醫生,Доктор,Lekarz,Médico,Doutor,Arzt,Doktor,Dottore
CHARACTER_GENERALIST,Generalist,Généraliste,博学家,一般医,박학다식자,博學家,Разносторонний,Wszechstronny,Versátil,Generalista,Generalist,Aydın,Polistrumentista
CHARACTER_SICK,Sick,Malade,病人,病気,환자,病人,Больной,Chory,Enfermo,Doente,Kranker,Hasta,Malato
CHARACTER_SAVER,Saver,Économe,节俭者,救世主,절약가,節約家,Скряга,Zbawca,Ahorrador,Econômico,Sparfuchs,Kurtarıcı,Sparagnino
CHARACTER_GLADIATOR,Gladiator,Gladiateur,角斗士,剣闘士,검투사,角鬥士,Гладиатор,Gladiator,Gladiador,Gladiador,Gladiator,Gladyatör,Gladiatore
CHARACTER_FARMER,Farmer,Fermier,农夫,農民,농부,農夫,Фермер,Rolnik,Agricultor,Fazendeiro,Bauer,Çiftçi,Agricoltore
CHARACTER_EXPLORER,Explorer,Explorateur,探险家,探検家,탐험가,探險家,Исследователь,Odkrywca,Explorador,Explorador,Entdecker,Kaşif,Esploratore
CHARACTER_OLD,Old,Vieux,老叟,古い,늙은이,老舊,Старик,Staruszek,Viejales,Idoso,Greis,İhtiyar,Vegliardo
CHARACTER_DEMON,Demon,Démon,恶魔,悪魔,악마,惡魔,Демон,Demon,Demonio,Demônio,Dämon,İblis,Demone
CHARACTER_BULL,Bull,Taureau,公牛,雄牛,황소,公牛,Бык,Byk,Toro,Touro,Stier,Boğa,Toro
EFFECT_ALIEN_EYES,Shoots {0} alien eyes around you every {4} seconds dealing {1} ({3}) damage each,Projette {0} yeux extraterrestres autour de vous toutes les {4} secondes qui infligent {1} ({3}) points de dégâts chacun,每{4}秒向周围发射{0}颗异形眼球，每颗眼球造成{1}（{3}）伤害,{4}秒ごとに、周囲のエイリアンの目を {0} 個撃ち、それぞれにダメージを {1}（{3}） 与えます,매 {4}초마다 외계인 눈 {0}개를 발사해 각각 {1}({3}) 대미지를 가합니다,每{4}秒向周圍射出{0}隻異形眼睛，每顆眼睛造成{1}（{3}）傷害,"Каждые {4} сек. разбрасывает глаза пришельцев ({0}), каждый из которых наносит урон: {1} ({3}).","Co {4} sekund strzela oczami obcych ({0}), które zadają po {1} pkt. obrażeń ({3})",Dispara {0} ojos alienígenas que causan {1} ({3}) de daño a tu alrededor cada {4} segundos,"Atira {0} olhos alienígenas a cada {4} segundos, causando {1} ({3}) de dano cada.","Schießt alle {4} Sekunden {0} Alienaugen um dich herum, die jeweils {1} ({3}) Schaden verursachen",Etrafına her {4} saniye boyunca her biri {1} ({3}) hasar veren {0} uzaylı gözü saçar,"Ogni {4} secondi, lancia intorno a te {0} occhi alieni che infliggono {1} ({3}) danni ciascuno."
EFFECT_INSTANT_GOLD_ATTRACTING,{0} chance to instantly attract a material when it’s dropped,{0} chance d’attirer instantanément un matériau lorsqu'il est lâché,有{0}概率立即吸收掉落的材料,{0} の確率で、材料がドロップされると瞬時に引き寄せます,{0} 확률로 떨어지면 즉시 재료를 끌어들임,有{0}的機率在素材掉落時立即吸引過來,Шанс {0} сразу притянуть выпавший материал.,{0} szans na natychmiastowe zebranie materiału po jego upuszczeniu,{0} de probabilidad de atraer un material en cuanto lo suelta el enemigo,{0} de chance de atrair instantaneamente um material deixado.,"Chance von {0}, ein Material sofort anzuziehen, wenn es fallen gelassen wird",{0} olasılıkla düşen malzemeyi anında çeker,{0} di probabilità di attirare subito a te un materiale appena generato.
EFFECT_FREE_SHOP_REROLL,{0} free reroll in the shop,{0} randomisation gratuite dans la boutique,商店免费刷新{0}次,ショップで無料のリロール {0},상점에서 {0}번의 무료 초기화,商店裡能免費重骰{0}次,Бесплатная замена {0} р. в магазине.,Darmowe wymiany w sklepie: {0},{0} de repeticiones gratis en la tienda,Permite a renovação gratuita dos itens da loja {0} vez(es).,{0} Mal kostenlos neu würfeln im Laden,Dükkânda {0} ücretsiz yenileme hakkı,{0} cambi gratuiti nel negozio.
EFFECT_CONSUMABLE_HEAL,{0} HP recovered from consumables,{0} PV récupérés en ramassant des consommables,使用消耗品恢复{0}HP,消耗品から回復するHP {0},소모품에서 {0}만큼의 HP 회복,使用消耗品恢復{0}HP,{0} ОЗ восстанавливается от расходников.,{0} PZ odzyskanych dzięki przedm. jedn.,Recuperas un {0} de PS con consumibles,Recupera {0} PV com consumíveis.,{0} LP durch Verbrauchsgegenstände wiederhergestellt,Tüketilebilir eşya ile {0} Sağlık yenilendi,{0} ai PS recuperati con i materiali consumabili.
EFFECT_REDUCE_STAT_GAINS,{0} modifications are reduced by {1},Les modifications de {0} sont réduites de {1},{0}的修改减少{1},{0} 変更は {1} 減少する,{0} 수정이 {1}만큼 감소,{0}的修改都將減少{1},Модификации типа «{0}» ослаблены на {1}.,Modyfikacje {0} są zmniejszone o {1},{0} modificaciones se reducen en {1},Reduz em {1} as modificações de {0}.,"""{0}""-Modifikationen werden um {1} verringert",{0} değişiklikleri {1} azalır,Le modifiche del parametro {0} sono ridotte ({1}).
EFFECT_INCREASE_STAT_GAINS,{0} modifications are increased by {1},Les modifications de {0} sont augmentées de {1},{0}的修改增加{1},{0} 変更は {1} 増加する,{0} 수정이 {1}만큼 증가,{0}的修改都將增加{1},Модификации типа «{0}» усилены на {1}.,Modyfikacje {0} są zwiększone o {1},{0} modificaciones aumentan en {1},Aumenta em {1} as modificações de {0}.,"""{0}""-Modifikationen werden um {1} erhöht",{0} değişiklikleri {1} artar,Le modifiche del parametro {0} sono aumentate ({1}).
EFFECT_NO_MELEE_WEAPONS,You can't equip melee weapons,Vous ne pouvez pas équiper d'armes de mêlée,无法装备近战武器,近接武器を装備していません,근거리 무기를 탑재할 수 없습니다,你無法裝備近距離武器,Вы не можете использовать оружие ближнего боя.,Nie możesz wyposażać broni do wal. wr.,No puedes usar armas cuerpo a cuerpo,Você não pode equipar armas corpo a corpo.,Du kannst keine Nahkampfwaffen ausrüsten,Yakın saldırı silahı kuşanamazsın,Non puoi usare armi da mischia.
EFFECT_NO_RANGED_WEAPONS,You can't equip ranged weapons,Vous ne pouvez pas équiper d'armes à distance,无法装备远战武器,遠距離武器を装備していません,원거리 무기를 탑재할 수 없습니다,你無法裝備遠距離武器,Вы не можете использовать оружие дальнего боя.,Nie możesz wyposażać broni dystans.,No puedes usar armas a distancia,Você não pode equipar armas de longo alcance.,Du kannst keine Fernkampfwaffen ausrüsten,Menzilli silah kuşanamazsın,Non puoi usare armi da distanza.
EFFECT_STARTING_ITEM,You start with {0} {1},Vous commencez avec {0} {1},初始拥有{0}{1},{0}{1} で開始します,{0} {1}와(과) 함께 시작합니다,你會持有{0}{1}開始,На старте вы получаете: {1} ({0} шт.).,Zaczynasz z: {0} {1},Empiezas con {0} {1},Você começa com {1} x{0}.,Du beginnst mit {0} {1},{0} adet {1} ile başlarsın,Inizi con {0} {1}.
EFFECT_WEAPON_CLASS_BONUS,{0} {1} with {2} weapons,{0} {1} avec les armes de type {2},使用{2}类武器时{0}{1},武器 {2} 個のある {0} {1},{2}개 무기가 있는 {0} {1},{0}{1}使用{2}武器,{0} к параметру «{1}» с оружием класса «{2}».,{0} {1} przy broni typu: {2},{0} {1} con armas de clase {2},{0} de {1} com armas da classe {2}.,{0} {1} mit der Waffenklasse {2},{2} sınıf silahlarla {0} {1} sağlar,{0} {1} con armi di classe {2}.
EFFECT_WEAPON_BONUS,{0} {1} with {2},{0} {1} avec {2},使用{2}时{0}{1},{2} のある {0} {1},{2}이(가) 있는 {0} {1},{0}{1}使用{2},{0} к параметру «{1}» с оружием «{2}».,{0} {1} przy: {2},{0} {1} con {2},{0} de {1} com {2}.,{0} {1} mit {2},{2} ile {0} {1} sağlar,{0} {1} con {2}.
EFFECT_ONE_WEAPON_SLOT_LIMIT,You can only equip one weapon at a time,Vous ne pouvez équiper qu'une seule arme à la fois,同时仅能装备1种武器,一度に装備できる武器は1個です,한 번에 한 개의 무기만 탑재할 수 있습니다,同時只能裝備一種武器,Одновременно можно использовать только одно оружие.,Możesz wyposażyć jedną bron naraz,Solo puedes usar un arma a la vez,Você só pode equipar uma arma por vez.,Du kannst nur eine Waffe gleichzeitig ausrüsten,Tek seferde yalnızca bir silah kuşanabilirsin,Puoi utilizzare solo un'arma alla volta.
EFFECT_MAX_WEAPONS,You can equip up to {0} weapons at a time,Vous pouvez équiper jusque {0} armes à la fois,同时能装备{0}种武器,一度に装備できる武器は最大 {0} 個です,한 번에 최대 {0}개의 무기를 탑재할 수 있습니다,同時只能裝備{0}種武器,Одновременно можно использовать не более {0} ед. оружия.,Możesz wyposażyć do {0} broni naraz,Solo puedes usar hasta {0} armas a la vez,Você só pode equipar até {0} armas por vez.,Du kannst bis zu {0} Waffen gleichzeitig ausrüsten,Tek seferde {0} adete kadar silah kuşanabilirsin,Puoi utilizzare un massimo di {0} armi alla volta.
EFFECT_WEAPON_STACK,Deals {0} {1} for every additional {2} you have [{3}],Inflige {0} {1} pour chaque {2} additionnel que vous avez [{3}],每额外持有1个{2}便会{0}{1} [{3}],持っている追加の {2} ごとに {0} {1} を与えます [{3}],가지고 있는 모든 추가 {2} 마다 {0} {1}을(를) 가합니다 [{3}],每個額外持有的{2}都能造成{0}{1} [{3}],Наносит: {1} ({0}) за каждую копию оружия «{2}». [{3}],Zadaje {0} {1} za każdy dodatkowy posiadany: {2} [{3}],Causa {0} {1} por cada {2} adicional que tengas [{3}],Causa {0} de {1} por {2} adicional que você tenha. [{3}],Verursacht {0} {1} für jedes weitere Exemplar von {2} [{3}],Mevcut {2} sayısı kadar {0} {1} sağlar [{3}],Infligge {0} {1} per ogni {2} in tuo possesso [{3}].
EFFECT_BURNING,Deals {0}x{1} ({2}) burning damage,Inflige {0}x{1} ({2}) dégâts de brûlure,造成{0}x{1}（{2}）燃烧伤害,燃焼ダメージを {0}x{1}（{2}） 与えます,{0}x{1}({2})의 화상 대미지를 가합니다,造成{0}x{1}（{2}）的燃燒傷害,Наносит огненный урон: {0}x{1} ({2}).,Zadaje {0}x{1} ({2}) pkt. obrażeń od płomieni,Causa {0}x{1} ({2}) de daño por quemadura,Causa {0}x{1} ({2}) de dano de queimadura.,Verursacht {0}x{1} ({2}) Brandschaden,{0}x{1} ({2}) yanma hasarı verir,Infligge {0}x{1} ({2}) danni da bruciatura.
EFFECT_BURNING_COOLDOWN_REDUCTION,Burning activates {0} faster,Les brûlures s’activent {0} plus rapidement,燃烧速度提高{0},燃焼で {0} の発動が早くなります,화상이 {0}만큼 더 빨리 활성화됩니다,燃燒啟動增快{0},Огонь разгорается на {0} быстрее.,Płomienie aktywują się {0} razy szybciej,{0} se activa más rápido por quemadura,O efeito de queimadura é ativado {0} mais rápido.,Brand wird {0} schneller aktiviert,Yanma {0} daha hızlı ortaya çıkar,La velocità di attivazione delle bruciature aumenta ({0}).
,,,,,,,,,,,,,
EFFECT_BURNING_SPREAD_PLURAL,Burning spreads to {0] nearby enemies,Les brûlures se propagent à {0} ennemis proches,燃烧蔓延至附近的{0]名敌人,燃焼が近くの敵{0]体に広がります,화상이 근처 {0]만큼의 적에게 확산됩니다,燃燒蔓延到附近的{0]個敵人,Огонь поджигает {0] ближайших врагов.,Płomienie przenoszą się na {0} pobliskich wrogów,El efecto de quemadura se propaga a {0} enemigos cercanos,A queimadura passa para {0} inimigos próximos.,Der Brand breitet sich auf {0} Gegner in der Nähe aus,Yanma yakındaki {0] düşmana etki eder,Le bruciature colpiscono anche {0} nemici vicini.
EFFECT_PIERCING,Projectiles pierce through {0} additional target,Les projectiles perforent {0} cible supplémentaire,投射物贯通{0}个额外目标,発射物は追加ターゲット {0} を貫通します,발사체가 추가 {0}개 타겟을 관통합니다,投射物貫穿{0}個額外目標,Снаряды пробивают дополнительные цели (до {0}).,Pociski przeszywają dodatkowe cele ({0}),Los proyectiles atraviesan {0} objetivo(s) adicional(es),Os projéteis atravessam {0} alvo(s) a mais.,Projektile können {0} Mal öfter Ziele durchdringen,Roket fazladan {0} hedefi deler,I proiettili perforano {0} bersagli in più.
EFFECT_PROJECTILES_ON_DEATH,One bullet dealing {1} ({3}) damage is fired from an enemy corpse when they die,Une balle infligeant {1} ({3}) dégâts est tirée d'un cadavre ennemi lorsqu'il meurt,当敌人死亡时，发射一枚能造成{1}（{3}）伤害的子弹,ダメージを {1}（{3}） 与える1発の弾丸が、敵の死体から発射されます,적이 죽을 때 시체에서 {1}({3}) 대미지를 가하는 탄환 하나가 발사됩니다,當敵人死亡時，會從他們身上射出一發能造成{1}（{3}）傷害的子彈,"После гибели врага из него вырывается пуля, наносящая урон: {1} ({3}).","Gdy wróg umiera, jego ciało wystrzeliwuje pocisk zadający {1} pkt. obrażeń ({3})",Los enemigos disparan una bala que causa {1} ({3}) de daño al morir.,"Um projétil é disparado do cadáver de um inimigo ao morrer, causando {1} ({3}) de dano.","Wenn ein Gegner stirbt, feuert die Leiche eine Kugel ab, die {1} ({3}) Schaden verursacht",Düşman öldüğünde cesedinden {1} ({3}) hasar veren bir mermi ateşlenir,"Quando un nemico muore, il suo cadavere spara un proiettile che infligge {1} ({3}) danni."
EFFECT_BURN_CHANCE,Attacks have a {0} chance to deal {1}x{2} ({3}) burning damage,Les attaques ont {0} de chance d'infliger {1}x{2} ({3}) dégâts de brûlure,攻击有{0}机率造成{1}x{2}（{3}）的燃烧伤害,{0} の確率で、攻撃が燃焼ダメージを {1}x{2}（{3}） 与えます,공격이 {1}x{2} ({3})만큼의 화상 대미지를 가할 확률이 {0} 입니다,攻擊有{0}機率造成{1}x{2}（{3}）的燃燒傷害,Атаки с шансом {0} наносят огненный урон: {1}x{2} ({3}).,Ataki mają {0} szans na zadanie {1}x{2} ({3}) pkt. obrażeń od płomieni,Tus ataques tienen un {0} de probabilidad de causar {1}x{2} ({3}) daño por quemadura,Os ataques têm {0} de chance de causar {1}x{2} ({3}) de dano de queimadura.,"Angriffe haben eine Chance von {0}, {1}x{2} ({3}) Brandschaden zu verursachen",{0} olasılıkla saldırıların {1}x{2} ({3}) yanma hasarı verir,{0} di probabilità che i tuoi attacchi infliggano {1}x{2} ({3}) danni da bruciatura.
EFFECT_NO_MIN_RANGE,Weapons no longer have a minimum range,Les armes n'ont plus de portée minimum,武器不再具有最小攻击范围,武器に最小範囲がなくなりました,더 이상 무기에 최소 거리가 없습니다,武器不再具有最小攻擊範圍,У оружия больше нет минимальной дальности.,Bronie nie mają już minimalnego zasięgu,Las armas ya no tienen un alcance mínimo,As armas não têm mais um alcance mínimo.,Waffen haben keine Mindestreichweite mehr,Silahların artık minimum menzili olmaz,Le armi non hanno più una portata minima.
EFFECT_STACK_STAT,{0} {1} every 5 seconds until the end of the wave,{0} {1} toutes les 5 secondes jusqu'à la fin de la vague,每5秒{0}{1}，直至敌袭结束,波が終了するまで5秒ごとに {0}{1},웨이브가 끝날 때까지 매 5초마다 {0} {1},每5秒一次{0}{1}直到敵襲結束,{0} к параметру «{1}» каждые 5 сек. до конца волны.,"{0} {1} co 5 sekund, aż do końca fali",{0} de {1} cada 5 segundos hasta el final de la oleada,"{0} de {1} a cada 5 segundos, até o fim da onda.",{0} {1} alle 5 Sekunden bis zum Ende der Welle,Hücum bitene kadar her 5 saniye {0} {1} sağlar,{0} {1} ogni 5 secondi fino alla fine dell'ondata.
EFFECT_DEAL_DMG_WHEN_PICKUP_GOLD,{0} chance to deal {1} ({2}) damage to a random enemy when you pick up a material,{0} de chance d'infliger {1} ({2}) dégâts à un ennemi aléatoire lorsque vous ramassez un matériau,拾取材料时有{0}概率对随机1名敌人造成{1}（{2}）伤害,{0} の確率で、材料を拾うとランダムな敵にダメージを {1}（{2}） 与えます,재료를 획득할 때 랜덤 적에게 {0} 확률로 {1}({2})을(를) 가합니다,當撿起素材時有{0}的機率隨機造成一個敵人{1}（{2}）的傷害,Шанс {0} при сборе материала нанести случайному врагу урон: {1} ({2}).,{0} szans na zadanie {1} ({2}) pkt. obrażeń losowemu wrogowi przy podnoszeniu materiałów,{0} de probabilidad de causar {1} ({2}) de daño a un enemigo aleatorio al recoger un material,{0} de chance de causar {1} ({2}) de dano a um inimigo aleatório ao coletar um material.,"Chance von {0}, einem zufälligen Gegner beim Aufsammeln von Material {1} ({2}) Schaden zuzufügen",{0} olasılıkla malzeme topladığında rastgele bir düşmana {1} ({2}) hasar verirsin,{0} di probabilità di infliggere {1} ({2}) danni a un nemico a caso quando raccogli un materiale.
EFFECT_DEAL_DMG_WHEN_DEATH,{0} chance to deal {1} ({2}) damage to a random enemy when an enemy dies,{0} de chance d'infliger {1} ({2}) dégâts à un ennemi aléatoire lorsqu'un ennemi meurt,敌人死亡时有{0}概率对随机1名敌人造成{1}（{2}）伤害,{0} の確率で、敵が倒れるとランダムな敵にダメージを {1}（{2}） 与えます,적이 죽을 때 랜덤 적에게 {0} 확률로 {1}({2})을(를) 가합니다,當敵人死亡時有{0}的機率隨機造成一個敵人{1}（{2}）的傷害,Шанс {0} при гибели врага нанести случайному врагу урон: {1} ({2}).,"{0} szans na zadanie {1} ({2}) pkt. obrażeń losowemu wrogowi, gdy inny wróg umiera",{0} de probabilidad de causar {1} ({2}) de daño a un enemigo aleatorio al morir otro,{0} de chance de causar {1} ({2}) de dano a um inimigo aleatório quando um inimigo morre.,"Chance von {0}, einem zufälligen Gegner {1} ({2}) Schaden zuzufügen, wenn ein Gegner stirbt",{0} olasılıkla bir düşman öldüğünde rastgele bir düşmana {1} ({2}) hasar verirsin,{0} di probabilità di infliggere {1} ({2}) danni a un nemico a caso quando un altro nemico muore.
EFFECT_PIERCING_DAMAGE,{0} Piercing Damage. Can't go above base damage,{0} Dégâts de Perforation. Ne peut pas dépasser les dégâts de base,{0}贯通伤害，不会高于基础伤害,貫通ダメージ {0} 。基本ダメージ超えにはなりません,{0} 관통 대미지. 기본 대미지를 초과할 수 없음,{0}貫穿傷害。不會低於基礎傷害,Урон при пробивании: {0}. Урон не может быть выше базового.,{0} pkt. obrażeń od przeszywania. Nie więcej niż obrażenia bazowe,{0} de daño de perforación. No puede ser superior al daño base.,{0} de dano de perfuração (o dano base é o máximo).,{0} Durchschlagschaden. Kann den Basisschaden nicht übersteigen,{0} Delici Hasar. Esas hasar seviyesinin üstüne çıkamaz,{0} danni da perforazione. Il valore non può superare quello dei danni base.
EFFECT_BOUNCE_DAMAGE,{0} Bounce Damage. Can't go above base damage,{0} Dégâts de Rebond. Ne peut pas dépasser les dégâts de base,{0}反弹伤害，不会高于基础伤害,跳ね返りダメージ {0}。基本ダメージ超えにはなりません,{0} 튕김 대미지. 기본 대미지를 초과할 수 없음,{0}反彈傷害。不會低於基礎傷害,Урон при отскоке: {0}. Урон не может быть выше базового.,{0} pkt. obrażeń od odbijania. Nie więcej niż obrażenia bazowe,{0} de daño de rebote. No puede ser superior al daño base.,{0} de dano de rebote (o dano base é o máximo).,{0} Abprallschaden. Kann den Basisschaden nicht übersteigen,{0} Sekme Hasarı. Esas hasar seviyesinin üstüne çıkamaz,{0} danni da rimbalzo. Il valore non può superare quello dei danni base.
EFFECT_KNOCKBACK,{0} Knockback,{0} Poussée,{0}击退,{0} ノックバック,{0} 넉백,{0}擊退,Отталкивание: {0}.,{0} odrzutu,{0} de derribo,{0} de empurrão.,{0} Rückstoß,{0} İtme,{0} di respinta.
EFFECT_START_WAVE_LESS_HP,Start waves with {0} HP,Vous commencez les vagues avec {0} PV,以{0}生命值开始敌袭,HP {0} で波が開始します,{0} HP로 웨이브 시작,以{0}HP開始敵襲,{0} ОЗ в начале волны.,Rozpoczyna falę z {0} PZ,Comienza las oleadas con {0} PS,Inicia as ondas com {0} PV.,Beginne Wellen mit {0} LP,Hücum başlarken {0} HP sağlar,Inizi le ondate con {0} PS.
EFFECT_REMOVE_SPEED,Hitting an enemy removes {0} of their speed. Max {2},Toucher un ennemi réduit sa vitesse de {0}. Max {2},击中敌人时能使其降低{0}速度，最高{2},敵に命中すると、そのスピードが {0} 減少します。最大 {2},적을 타격하면 적의 속도를 {0}만큼 제거합니다. 최대 {2},擊中敵人時能降低{0}速度。上限為{2},При попадании по врагу вы лишите его {0} скорости. Максимум: {2}.,Trafianie wrogów zmniejsza ich prędkość o {0}. Maks. {2},Reduce {0} de velocidad del enemigo al golpearle. Máximo: {2},Acertar um inimigo remove {0} da velocidade dele (máx.: {2}).,"Wird ein Gegner getroffen, sinkt sein Tempo um {0}. Max. {2}",Bir düşmana vurmak hızını {0} azaltır. Maks. {2},-{0} alla velocità dei nemici quando li colpisci (max {2}).
EFFECT_SLOW_IN_ZONE,Slows enemies in a radius around the projectile,Ralentit les ennemis dans un rayon autour du projectile,使投射物周围的敌人减速,発射物の半径内の敵が遅くなります,발사체 주위 반경 안에 있는 적을 느리게 함,使投射物周圍的敵人減速,Замедляет врагов в радиусе вокруг снаряда.,Spowalnia wrogów w sąsiedztwie pocisku,Ralentiza a los enemigos en un radio alrededor del proyectil,Desacelera os inimigos na área ao redor dos projéteis.,Verlangsamt Gegner im Umkreis des Projektils,Roketin geçtiği alandaki düşmanları yavaşlatır,Rallenta i nemici entro un certo raggio dal proiettile.
EFFECT_PACIFIST,Gain {0} material and XP for every living enemy at the end of a wave,Vous gagnez {0} matériau et XP pour chaque ennemi vivant à la fin d’une vague,在敌人攻击波结束时，每有1个活着的敌人，你获得{0}个材料和经验值。,波の終わりに、生きている敵ごとに材料{0}個とXPを獲得する,웨이브가 끝날 때 살아있는 모든 적에 대해 재료 {0}개와 XP를 획득합니다,敵襲結束後每有一個敵人存活就能獲得{0}個素材和XP,Получите {0} ед. материалов и опыт за каждого живого врага в конце волны.,Zdobywasz {0} szt. materiałów i PD za każdego żywego wroga na zakończenie fali,Obtienes {0} de material y XP por cada enemigo con vida al final de una oleada,Ganha {0} de material e EXP por inimigo vivo ao fim de uma onda.,Erhalte für jeden lebenden Gegner am Ende einer Welle {0} Material und EP,Hücum sonunda her yaşayan düşman için {0} malzeme ve TP kazan,"Alla fine di un'ondata, ricevi {0} materiali e PE per ogni nemico vivo."
EFFECT_UNIQUE_WEAPON_BONUS,{0} {1} for every different weapon you have [{2}],{0} {1} pour chaque arme différente que vous avez [{2}],持有每一异种武器{0}{1} [{2}],{0} {1}持っているユニーク武器ごとに [{2}],가지고 있는 모든 색다른 무기에 대한 {0} {1} [{2}],每持有一款異種武器就{0}{1} [{2}],{0} к параметру «{1}» за каждое отличающееся оружие. [{2}],{0} {1} za każdą posiadaną unikatową broń [{2}],{0} de {1} por cada arma distinta que tengas [{2}],{0} de {1} por cada arma diferente que você tenha [{2}].,"{0} {1} für jede unterschiedliche Waffe, die du besitzt [{2}]",Elindeki her farklı silah için {0} {1} sağlar [{2}],{0} {1} per ogni arma diversa in tuo possesso [{2}].
EFFECT_ADDITIONAL_WEAPON_BONUS,{0} {1} for every weapon you have [{2}],{0} {1} pour chaque arme que vous avez [{2}],每持有1件武器{0}{1} [{2}],持っている武器ごとに {0}{1} [{2}],가지고 있는 모든 무기에 대한 {0} {1} [{2}],每持有一款武器就{0}{1} [{2}],{0} к параметру «{1}» за каждое оружие. [{2}],{0} {1} za każdą posiadaną broń [{2}],{0} de {1} por cada arma que tengas [{2}],{0} de {1} por arma que você tenha. [{2}],"{0} {1} für jede Waffe, die du besitzt [{2}]",Elindeki her silah için {0} {1} sağlar [{2}],{0} {1} per ogni arma in tuo possesso [{2}].
EFFECT_PICKUP_RANGE,{0} pickup range,{0} portée d’attraction,拾取范围{0},ピックアップ範囲 {0},{0} 획득 범위,撿拾範圍{0},Дальность сбора: {0}.,Zasięg podnoszenia: {0},{0} de alcance de recogida,{0} de alcance de coleta.,{0} Sammelreichweite,{0} toplama menzili,{0} al raggio di raccolta.
EFFECT_ON_HIT,{0} {1} when you take damage until the end of the wave,{0} {1} lorsque vous recevez des dégâts jusque la fin de la vague,受到攻击时{0}{1}，直至敌袭结束,波が終了するまでダメージを受けると {0}{1},웨이브가 끝날 때까지 대미지를 입으면 {0} {1},每當受到攻擊時{0}{1}直到敵襲結束,{0} к параметру «{1}» при получении урона до конца волны.,"{0} {1}, gdy otrzymujesz obrażenia. Trwa do końca fali",{0} de {1} al recibir daño hasta el final de la oleada,"{0} de {1} quando você sofre dano, até o fim da onda.","{0} {1} bis zum Ende der Welle, wenn du Schaden erleidest",Hasar alırsan hücum bitene kadar {0} {1} sağlar,{0} {1} quando subisci danni fino alla fine dell'ondata.
EFFECT_PROJECTILES_ON_HIT,Hitting an enemy spawns {0} projectiles dealing {1} ({3}) damage,Toucher un ennemi génère {0} projectiles infligeant {1} ({3}) dégâts,击中敌人时产生{0}投射物，造成{1}（{3}）伤害,敵に命中すると、ダメージを {1}（{3}） 与える発射物が {0} 出現します,적을 타격하면 {1}({3}) 대미지를 가하는 발사체 {0}개 생성,擊中敵人時產生能造成{1}（{3}）傷害的{0}投射物,"При попадании по врагу вы создадите снаряды ({0}), которые наносят урон: {1} ({3}).",Trafianie wrogów generuje pociski ({0}) zadające {1} ({3}) pkt. obrażeń,Invoca {0} proyectiles que causan {1} ({3}) de daño al golpear a un enemigo,Acertar um inimigo gera {0} projéteis que causam {1} ({3}) de dano.,"Wird ein Gegner getroffen, spawnen {0} Projektile, die {1} ({3}) Schaden verursachen",Bir düşmana vurunca {1} ({3}) hasar veren {0} roket ateşlenir,"Quando colpisci un nemico, crei {0} proiettili che infliggono {1} ({3}) danni."
